risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
308,81,Chhata,Mathura,49.09,BJP,Ch. Laxmi Narayan Singh,52.18,RLD,Tejpal Singh,31.65,48948.0,20.53,28.229999999999997,7.699999999999996,False,58.94,65.39999999999999,0.0
309,134,Powayan (SC),Shahjahanpur,48.93,BJP,Chetram Pasi,55.62,SP,Upendra Pal Singh,33.62,51578.0,22.0,31.88,9.879999999999999,False,56.0,69.75999999999999,0.0
310,141,Dhaurahra,Lakhimpur Kheri,48.76,BJP,Vinod Shankar Awasthi,49.49,SP,Varun Singh,38.76,24610.0,10.730000000000004,1.5399999999999991,-9.190000000000005,False,78.53999999999999,31.61999999999999,0.0
311,164,Mohan (SC),Unnao,48.61,BJP,Brijesh Kumar Rawat,53.45,SP,Dr. Anchal,33.08,43179.0,20.370000000000005,27.0,6.6299999999999955,False,59.25999999999999,63.25999999999999,0.0
312,300,Mankapur (SC),Gonda,48.43,BJP,Ramapati Shastri,57.69,SP,Ramesh Chandra,34.57,42349.0,23.119999999999997,34.040000000000006,10.920000000000009,False,53.760000000000005,71.84000000000002,0.0
313,18,Nagina (SC),Bijnor,48.35,SP,Manoj Kumar Paras,43.51,BJP,Dr. Yashwant,31.67,26451.0,11.839999999999996,3.8200000000000003,-8.019999999999996,False,76.32000000000001,33.96000000000001,0.0
314,302,Shohratgarh,Siddharthnagar,48.33,AD(S),Vinay Verma,37.46,SBSP,Prem Chand Nishad,22.56,24463.0,14.900000000000002,11.950000000000003,-2.9499999999999993,False,70.19999999999999,44.1,0.0
315,35,Chamraua,Rampur,48.32,SP,Naseer Ahmad Khan,50.34,BJP,Mohan Kumar Lodhi,33.24,34290.0,17.1,17.8,0.6999999999999993,False,65.8,51.4,0.0
316,95,Tundla (SC),Firozabad,48.17,BJP,Prempal Singh Dhangar,49.46,SP,Rakesh Babu,30.26,47691.0,19.2,23.150000000000002,3.950000000000003,False,61.6,57.900000000000006,0.0
317,335,Ramkola (SC),Kushinagar,48.03,BJP,Vinay Prakash Gond,58.27,SBSP,Purnmasi Dehati,24.4,72543.0,33.870000000000005,28.710000000000004,-5.16,True,32.25999999999999,39.68,100.0
318,194,Farrukhabad,Farrukhabad,47.98,BJP,Sunil Dutt Dwivedi,53.83,SP,Suman Shakya,34.99,39326.0,18.839999999999996,21.880000000000003,3.0400000000000063,False,62.32000000000001,56.08000000000001,0.0
319,398,Chunar,Mirzapur,47.95,BJP,Anurag Singh,50.26,AD(K),Ramashankar Prasad Singh,28.7,47614.0,21.56,29.070000000000004,7.510000000000005,False,56.88,65.02000000000001,0.0
320,100,Kasganj,Kasganj,47.72,BJP,Devendra Singh,52.67,SP,Man Pal Singh,32.92,46265.0,19.75,23.859999999999996,4.109999999999996,False,60.5,58.21999999999999,0.0
321,91,Fatehpur Sikri,Agra,47.69,BJP,Babulal Chaudhary,46.14,RLD,Brijesh Chahar,26.69,47269.0,19.45,23.009999999999998,3.5599999999999987,False,61.1,57.12,0.0
322,337,Deoria,Deoria,47.63,BJP,Shalabh Mani Tripathi,53.52,SP,Ajay Pratap Singh,33.13,40655.0,20.39,25.429999999999996,5.039999999999996,False,59.22,60.07999999999999,0.0
323,231,Charkhari,Mahoba,47.47,BJP,Brijbhushan Rajpoot,45.75,SP,Ramjeevan Yadav,26.97,41881.0,18.78,20.87,2.09,False,62.44,54.18,0.0
324,330,Padrauna,Kushinagar,47.4,BJP,Manish Jaiswal,49.8,SP,Vikram Yadav,31.53,42008.0,18.269999999999996,19.39,1.1200000000000045,False,63.46000000000001,52.24000000000001,0.0
325,326,Chauri-Chaura,Gorakhpur,47.27,BJP,Sarvan Kumar Nishad,44.65,SP,Brijesh Chandra Lal Paswan,24.68,41127.0,19.97,23.71,3.740000000000002,False,60.06,57.480000000000004,0.0
326,225,Garautha,Jhansi,46.37,BJP,Jawahar Lal Rajput,48.34,SP,Deep Narayan Singh,34.07,33662.0,14.270000000000003,7.0,-7.270000000000003,False,71.46,35.459999999999994,0.0
327,92,Kheragarh,Agra,46.27,BJP,Bhagwan Singh Kushwaha,47.05,INC,Ramnath Shikarwar,29.27,36497.0,17.779999999999998,16.189999999999998,-1.5899999999999999,False,64.44,46.82,0.0
328,163,Safipur (SC),Unnao,45.72,BJP,Bamba Lal Diwakar,52.13,SP,Sudhir Kumar,34.85,34132.0,17.28,13.940000000000005,-3.3399999999999963,False,65.44,43.32000000000001,0.0
329,215,Kidwai Nagar,Kanpur Nagar,45.67,BJP,Mahesh Trivedi,55.39,INC,Ajay Kapoor,37.06,37760.0,18.33,16.659999999999997,-1.6700000000000017,False,63.34,46.66,0.0
330,327,Bansgaon (SC),Gorakhpur,45.36,BJP,Vimlesh Paswan,46.26,SP,Sanjay Kumar,29.13,32209.0,17.13,12.939999999999998,-4.190000000000001,False,65.74000000000001,41.62,0.0
331,77,Iglas (SC),Aligarh,45.34,BJP,Rajkumar Sahyogi,52.35,RLD,Birpal Diwakar,28.0,59163.0,24.35,32.17,7.82,False,51.3,65.64,0.0
332,298,Colonelganj,Gonda,45.19,BJP,Ajay,55.8,SP,Yogesh Pratap Singh,37.49,35472.0,18.309999999999995,15.809999999999999,-2.4999999999999964,False,63.38000000000001,45.00000000000001,0.0
333,209,Bilhaur (SC),Kanpur Nagar,45.12,BJP,Rahul Bachha Sonkar,50.34,SP,Rachna Singh,33.02,42351.0,17.32,13.05,-4.27,False,65.36,41.46,0.0
334,87,Agra Cantonment (SC),Agra,45.1,BJP,G S Dharmesh,46.78,SP,Kunwar Chand,27.44,48697.0,19.34,18.409999999999997,-0.9300000000000033,False,61.32,48.13999999999999,0.0
335,170,Sarojini Nagar,Lucknow,44.63,BJP,Rajeshwar Singh,49.07,SP,Abhishek Mishra,31.9,56186.0,17.17,11.830000000000002,-5.34,False,65.66,39.32,0.0
336,271,Rudauli,Ayodhya,44.34,BJP,Ram Chandra Yadav,42.95,SP,Anand Sen,24.4,40616.0,18.550000000000004,15.030000000000001,-3.520000000000003,False,62.89999999999999,42.959999999999994,0.0
337,332,Fazilnagar,Kushinagar,44.15,BJP,Surendra Kumar Kushwaha,51.61,SP,Swami Prasad Maurya,31.15,45014.0,20.46,19.81,-0.6500000000000021,False,59.08,48.699999999999996,0.0
338,83,Goverdhan,Mathura,43.94,BJP,Karinda Singh,45.21,BSP,Rajkumar Rawat,26.03,42507.0,19.18,16.049999999999997,-3.1300000000000026,False,61.64,43.739999999999995,0.0
339,319,Paniyara,Maharajganj,43.94,BJP,Gyanendra Singh,52.11,SP,Krishnabhan Singh Sainthwar,28.48,61428.0,23.63,27.92,4.290000000000003,False,52.74,58.580000000000005,0.0
340,175,Lucknow Cantonment,Lucknow,43.9,BJP,Brajesh Pathak,54.7,SP,Raju Gandhi,34.71,39512.0,19.990000000000002,18.14,-1.8500000000000014,False,60.019999999999996,46.3,0.0
341,320,Caimpiyarganj,Gorakhpur,43.76,BJP,Fateh Bahadur Singh,54.38,SP,Kajal Nishad,35.37,42656.0,19.010000000000005,15.29,-3.720000000000006,False,61.97999999999999,42.55999999999999,0.0
342,50,Chhaprauli,Baghpat,43.66,RLD,Ajay Kumar,53.3,BJP,Sahender Singh,39.24,29508.0,14.059999999999995,1.9299999999999997,-12.129999999999995,False,71.88000000000001,25.74000000000001,0.0
343,173,Lucknow East,Lucknow,43.28,BJP,Ashutosh Tandon,59.4,SP,Anurag Bhadouria,32.7,68731.0,26.699999999999996,35.0,8.300000000000004,False,46.60000000000001,66.60000000000001,0.0
344,331,Tamkuhi Raj,Kushinagar,43.19,BJP,Asim Kumar,50.81,SP,Uday Narayan,21.47,66472.0,29.340000000000003,8.55,-20.790000000000003,True,41.31999999999999,8.419999999999995,100.0
345,373,Jakhanian (SC),Ghazipur,43.13,SBSP,Triveni Ram,44.53,BJP,Ramraj Vanvasi,30.05,36865.0,14.48,2.1599999999999966,-12.320000000000004,False,71.03999999999999,25.359999999999992,0.0
346,317,Siswa,Maharajganj,42.93,BJP,Prem Sagar Patel,50.05,SP,Sushil Kumar Tibrewal,25.46,62731.0,24.589999999999996,28.790000000000003,4.200000000000006,False,50.82000000000001,58.40000000000001,0.0
347,374,Saidpur (SC),Ghazipur,42.7,SP,Ankit Bharti,46.36,BJP,Subhash Passi,30.88,36635.0,15.48,4.119999999999997,-11.360000000000003,False,69.03999999999999,27.279999999999994,0.0
348,33,Sambhal,Sambhal,42.57,SP,Iqbal Mehmood,43.73,BJP,Rajesh Singhal,26.7,41697.0,17.029999999999998,8.030000000000001,-8.999999999999996,False,65.94,32.00000000000001,0.0
349,291,Tulsipur,Balrampur,42.5,BJP,Kailash Nath Shukla,42.92,IND,Zeba Rizwan,25.27,35841.0,17.650000000000002,9.560000000000002,-8.09,False,64.69999999999999,33.82,0.0
350,130,Bisalpur,Pilibhit,42.5,BJP,Vivek Kumar Verma,50.55,SP,Divya Gangwar,29.52,50409.0,21.029999999999998,18.58,-2.4499999999999993,False,57.940000000000005,45.1,0.0
351,101,Amanpur,Kasganj,42.49,BJP,Hariom Verma,50.4,SP,Satybhan Shakya,27.74,43329.0,22.66,22.91,0.25,False,54.68,50.5,0.0
352,161,Sandila,Hardoi,42.17,BJP,Alka Singh Arkvanshi,49.76,BSP,Abdul Mannan,31.61,37103.0,18.15,10.350000000000001,-7.799999999999997,False,63.7,34.400000000000006,0.0
353,348,Nizamabad,Azamgarh,42.07,SP,Alambadi,43.22,BJP,Manoj,24.71,34187.0,18.509999999999998,11.149999999999999,-7.359999999999999,False,62.980000000000004,35.28,0.0
354,29,Kundarki,Moradabad,42.06,SP,Zia ur Rahman Barq,46.28,BJP,Kamal Prajapati,30.4,43162.0,15.880000000000003,4.109999999999999,-11.770000000000003,False,68.24,26.459999999999994,0.0
355,325,Khajani (SC),Gorakhpur,41.73,BJP,Sriram Chauhan,45.31,SP,Rupawati Beldar,26.71,37101.0,18.6,10.82,-7.780000000000001,False,62.8,34.44,0.0
356,376,Jangipur,Ghazipur,41.56,SP,Virendra Kumar Yadav,44.75,BJP,Ramnaresh Kushwah,29.53,35063.0,15.219999999999999,1.5199999999999996,-13.7,False,69.56,22.6,0.0
357,230,Mahoba,Mahoba,41.13,BJP,Rakesh Kumar Goswami,45.61,SP,Manoj Tiwari,24.64,43447.0,20.97,16.130000000000003,-4.839999999999996,False,58.06,40.32000000000001,0.0
358,193,Amritpur,Farrukhabad,40.62,BJP,Sushil Kumar Shakya,53.1,SP,Dr. Jitendra Singh Yadav,29.1,44686.0,24.0,23.37,-0.629999999999999,False,52.0,48.74,0.0
359,70,Khurja (SC),Bulandshahr,40.02,BJP,Meenakshi Singh,52.99,SP,Banshi Singh,27.13,67084.0,25.860000000000003,27.33,1.4699999999999953,False,48.279999999999994,52.93999999999999,0.0
360,222,Babina,Jhansi,39.05,BJP,Rajeev Singh Parichha,50.44,SP,Yashpal Singh Yadav,31.46,44529.0,18.979999999999997,7.3700000000000045,-11.609999999999992,False,62.040000000000006,26.780000000000015,0.0
361,69,Shikarpur,Bulandshahr,38.52,BJP,Anil Sharma,53.04,RLD,Kiran Pal Singh,27.1,55683.0,25.939999999999998,25.04,-0.8999999999999986,False,48.120000000000005,48.2,0.0
362,324,Sahajanwa,Gorakhpur,38.5,BJP,Pradeep Shukla,47.21,SP,Yashwant Singh Rawat,27.87,43406.0,19.34,7.400000000000002,-11.939999999999998,False,61.32,26.120000000000005,0.0
363,336,Rudrapur,Deoria,38.04,BJP,Jai Prakash Nishad,42.99,SP,Ram Bhuwal Nishad,19.93,41936.0,23.060000000000002,16.560000000000002,-6.5,False,53.879999999999995,37.0,0.0
364,37,Rampur,Rampur,38.0,SP,Azam Khan,59.71,BJP,Akash Saxena,34.62,55141.0,25.090000000000003,21.900000000000002,-3.1900000000000013,False,49.81999999999999,43.62,0.0
365,27,Moradabad Rural,Moradabad,36.76,SP,Mohd Nasir Qureshi,56.88,BJP,Krishnakant Mishra,34.34,27820.0,22.54,13.04,-9.5,False,54.92,31.0,0.0
366,334,Hata,Kushinagar,36.59,BJP,Mohan Verma,55.7,SP,Ranvijay Singh,28.3,59365.0,27.400000000000002,25.720000000000002,-1.6799999999999997,False,45.199999999999996,46.64,0.0
367,88,Agra South,Agra,36.57,BJP,Yogendra Upadhyaya,52.39,SP,Vinay Agarwal,25.23,56640.0,27.16,25.05,-2.1099999999999994,False,45.68,45.78,0.0
368,217,Maharajpur,Kanpur Nagar,36.25,BJP,Satish Mahana,60.6,SP,Fateh Bahadur Singh Gill,28.0,82261.0,32.6,39.010000000000005,6.410000000000004,False,34.8,62.82000000000001,0.0
369,71,Khair (SC),Aligarh,36.1,BJP,Anoop Pradhan,55.55,BSP,Charu Kain,25.98,74341.0,29.569999999999997,30.69,1.1200000000000045,False,40.86000000000001,52.24000000000001,0.0
370,318,Maharajganj (SC),Maharajganj,36.09,BJP,Jai Mangal Kanojiya,51.08,IND,Nirmesh Mangal,22.53,76903.0,28.549999999999997,27.949999999999996,-0.6000000000000014,False,42.900000000000006,48.8,0.0
371,299,Tarabganj,Gonda,35.84,BJP,Prem Narayan Pandey,59.39,SP,Ram Bhajan Chaubey,33.95,53690.0,25.439999999999998,19.24,-6.199999999999999,False,49.120000000000005,37.6,0.0
372,93,Fatehabad,Agra,35.39,BJP,Chotelal Verma,50.46,SP,Rupali Dixit,25.77,53235.0,24.69,16.489999999999995,-8.200000000000006,False,50.62,33.59999999999999,0.0
373,34,Suar,Rampur,34.82,SP,Abdullah Azam Khan,59.19,AD(S),Haidar Ali Khan,30.62,61103.0,28.569999999999997,25.889999999999997,-2.6799999999999997,False,42.86000000000001,44.64,0.0
374,68,Debai,Bulandshahr,34.37,BJP,Chandrapal Singh,58.6,SP,Harish Kumar,27.61,68025.0,30.990000000000002,31.59,0.5999999999999979,False,38.019999999999996,51.199999999999996,0.0
375,399,Marihan,Mirzapur,34.35,BJP,Rama Shankar Singh,44.51,BSP,Narendra Singh Kushwaha,17.94,62911.0,26.569999999999997,19.769999999999996,-6.800000000000001,False,46.86000000000001,36.4,0.0
376,247,Vishwanathganj,Pratapgarh,33.94,AD(S),Jeet Lal Patel,43.21,SP,Saurabh Singh,19.3,48052.0,23.91,12.0,-11.91,False,52.18,26.18,0.0
377,90,Agra Rural (SC),Agra,33.8,BJP,Baby Rani Maurya,52.63,BSP,Kiran Prabha Keshari,23.26,76608.0,29.37,26.32,-3.0500000000000007,False,41.26,43.9,0.0
378,63,Jewar,Gautam Buddha Nagar,32.49,BJP,Dhirendra Singh,50.53,RLD,Avtar Singh Bhadana,26.25,56315.0,24.28,10.559999999999995,-13.720000000000006,False,51.44,22.559999999999988,0.0
379,110,Karhal,Mainpuri,32.21,SP,Akhilesh Yadav,60.12,BJP,S.P. Singh Baghel,32.74,67504.0,27.379999999999995,18.360000000000003,-9.019999999999992,False,45.24000000000001,31.960000000000015,0.0
380,227,Mehroni (SC),Lalitpur,32.21,BJP,Manohar Lal Panth,54.86,BSP,Kiran Ramesh Khatik,22.07,110451.0,32.79,32.79,0.0,False,34.42,50.0,0.0
381,223,Jhansi Nagar,Jhansi,30.56,BJP,Ravi Sharma,58.65,SP,Sitaram Kushwaha,28.45,76353.0,30.2,23.13,-7.07,False,39.6,35.86,0.0
382,377,Zahoorabad,Ghazipur,29.8,SBSP,Om Prakash Rajbhar,46.45,BJP,Kalicharan Rajbhar,21.49,45632.0,24.960000000000004,7.900000000000002,-17.060000000000002,False,50.07999999999999,15.879999999999995,0.0
383,54,Muradnagar,Ghaziabad,29.73,BJP,Ajit Pal Tyagi,61.63,RLD,Surendra Kumar,26.28,97295.0,35.35,35.489999999999995,0.13999999999999346,False,29.299999999999997,50.27999999999999,0.0
384,67,Anupshahr,Bulandshahr,28.82,BJP,Sanjay Kumar Sharma,52.64,BSP,Rameshwar Lodhi,20.11,77623.0,32.53,26.44,-6.09,False,34.94,37.82,0.0
385,321,Pipraich,Gorakhpur,27.68,BJP,Mahendra Pal Singh,54.86,SP,Amrendra Nishad,29.57,65357.0,25.29,5.239999999999998,-20.05,False,49.42,9.899999999999999,0.0
386,262,Allahabad North,Prayagraj,27.27,BJP,Harshvardhan Bajpai,55.07,SP,Sandeep Yadav,23.88,54883.0,31.19,20.29,-10.900000000000002,False,37.62,28.199999999999996,0.0
387,66,Syana,Bulandshahr,26.94,BJP,Devendra Singh Lodhi,58.9,RLD,Dilnawaj Khan,23.49,89657.0,35.41,31.0,-4.409999999999997,False,29.180000000000007,41.18000000000001,0.0
388,128,Barkhera,Pilibhit,26.78,BJP,Swami Pravaktanand,63.8,SP,Hemraj Verma,29.55,81472.0,34.25,27.639999999999997,-6.610000000000003,False,31.5,36.779999999999994,0.0
389,226,Lalitpur,Lalitpur,26.59,BJP,Ramratan Kushwaha,52.99,BSP,Chandrabhusan Bundela,20.81,107215.0,32.18000000000001,21.8,-10.380000000000006,False,35.639999999999986,29.239999999999988,0.0
390,390,Varanasi Cantt.,Varanasi,24.23,BJP,Saurabh Srivastava,60.63,SP,Pooja Yadav,25.01,86844.0,35.620000000000005,27.04,-8.580000000000005,False,28.75999999999999,32.83999999999999,0.0
391,84,Mathura,Mathura,22.46,BJP,Shrikant Sharma,60.26,INC,Pradeep Mathur,18.61,109803.0,41.65,40.17,-1.4799999999999969,False,16.700000000000003,47.040000000000006,0.0
392,78,Hathras (SC),Hathras,21.52,BJP,Anjula Singh Mahaur,58.79,BSP,Sanjeev Kumar,20.45,100856.0,38.34,29.779999999999998,-8.560000000000006,False,23.319999999999993,32.87999999999999,0.0
393,199,Jaswantnagar,Etawah,21.23,SP,Shivpal Singh Yadav,62.97,BJP,Vivek Shakya,27.1,90979.0,35.87,22.699999999999996,-13.170000000000002,False,28.260000000000005,23.659999999999997,0.0
394,212,Govindnagar,Kanpur Nagar,21.15,BJP,Surendra Maithani,61.03,SP,Vikas Yadav,19.05,80896.0,41.980000000000004,38.86,-3.1200000000000045,False,16.039999999999992,43.75999999999999,0.0
395,62,Dadri,Gautam Buddha Nagar,20.73,BJP,Tejpal Singh Nagar,61.64,SP,Rajkumar Bhati,22.57,138218.0,39.07,30.41,-8.66,False,21.86,32.68,0.0
396,41,Amroha,Amroha,18.81,SP,Mehboob Ali,57.43,BJP,Ram Singh,25.74,71036.0,31.69,7.52,-24.17,False,36.62,1.6599999999999966,0.0
397,72,Barauli,Aligarh,15.59,BJP,Thakur Jaivir Singh,60.57,BSP,Narendra Kumar Sharma,23.47,90645.0,37.1,16.580000000000005,-20.519999999999996,False,25.799999999999997,8.960000000000008,0.0
398,322,Gorakhpur Urban,Gorakhpur,15.57,BJP,Yogi Adityanath,66.18,SP,Subhawati Shukla,24.84,103390.0,41.34,27.86,-13.480000000000004,False,17.319999999999993,23.039999999999992,0.0
399,55,Sahibabad,Ghaziabad,15.02,BJP,Sunil Kumar Sharma,67.03,SP,Amarpal Sharma,22.43,214835.0,44.6,35.64,-8.96,False,10.799999999999997,32.08,0.0
400,56,Ghaziabad,Ghaziabad,14.84,BJP,Atul Garg,61.37,SP,Vishal Verma,18.25,105537.0,43.12,31.380000000000003,-11.739999999999995,False,13.760000000000005,26.52000000000001,0.0
401,89,Agra North,Agra,12.9,BJP,Purushottam Khandelwal,63.89,BSP,Shabbir Abbas,17.22,112370.0,46.67,37.620000000000005,-9.049999999999997,False,6.659999999999997,31.900000000000006,0.0
402,61,Noida,Gautam Buddha Nagar,8.43,BJP,Pankaj Singh,70.16,SP,Sunil Choudhary,18.04,181513.0,52.12,41.17,-10.949999999999996,False,0.0,28.10000000000001,0.0
403,47,Meerut Cantt,Meerut,7.24,BJP,Amit Agrawal,66.27,RLD,Manisha Ahlawat,17.98,118072.0,48.28999999999999,32.5,-15.789999999999992,False,3.420000000000016,18.420000000000016,0.0
